Cod_CCAA,Nom_CCAA,Cod_Provincia,Nom_Provincia
PV,COMUNIDAD AUTONOMA DEL PAIS VASCO,1,ARABA/ALAVA
CM,COMUNIDAD AUTONOMA DE CASTILLA-LA MANCHA,2,ALBACETE
CV,COMUNIDAD VALENCIANA,3,ALICANTE - ALACANT
AN,COMUNIDAD AUTONOMA DE ANDALUCIA,4,ALMERIA
CL,COMUNIDAD AUTONOMA DE CASTILLA Y LEON,5,AVILA
EX,COMUNIDAD AUTONOMA DE EXTREMADURA,6,BADAJOZ
IB,COMUNIDAD AUTONOMA DE ILLES BALEARS,7,ILLES BALEARS
CT,COMUNIDAD AUTONOMA DE CATALUNA,8,BARCELONA
CL,COMUNIDAD AUTONOMA DE CASTILLA Y LEON,9,BURGOS
EX,COMUNIDAD AUTONOMA DE EXTREMADURA,10,CACERES
AN,COMUNIDAD AUTONOMA DE ANDALUCIA,11,CADIZ
CV,COMUNIDAD VALENCIANA,12,CASTELLON/CASTELLO
CM,COMUNIDAD AUTONOMA DE CASTILLA-LA MANCHA,13,CIUDAD REAL
AN,COMUNIDAD AUTONOMA DE ANDALUCIA,14,CORDOBA
GA,COMUNIDAD AUTONOMA DE GALICIA,15,A CORUNA
CM,COMUNIDAD AUTONOMA DE CASTILLA-LA MANCHA,16,CUENCA
CT,COMUNIDAD AUTONOMA DE CATALUNA,17,GIRONA
AN,COMUNIDAD AUTONOMA DE ANDALUCIA,18,GRANADA
CM,COMUNIDAD AUTONOMA DE CASTILLA-LA MANCHA,19,GUADALAJARA
PV,COMUNIDAD AUTONOMA DEL PAIS VASCO,20,GIPUZKOA
AN,COMUNIDAD AUTONOMA DE ANDALUCIA,21,HUELVA
AR,COMUNIDAD AUTONOMA DE ARAGON,22,HUESCA
AN,COMUNIDAD AUTONOMA DE ANDALUCIA,23,JAEN
CL,COMUNIDAD AUTONOMA DE CASTILLA Y LEON,24,LEON
CT,COMUNIDAD AUTONOMA DE CATALUNA,25,LLEIDA
LR,COMUNIDAD AUTONOMA DE LA RIOJA,26,LA RIOJA
GA,COMUNIDAD AUTONOMA DE GALICIA,27,LUGO
MD,COMUNIDAD DE MADRID,28,MADRID
AN,COMUNIDAD AUTONOMA DE ANDALUCIA,29,MALAGA
MU,REGION DE MURCIA,30,MURCIA
NA,COMUNIDAD FORAL DE NAVARRA,31,NAVARRA
GA,COMUNIDAD AUTONOMA DE GALICIA,32,OURENSE
AS,PRINCIPADO DE ASTURIAS,33,ASTURIAS
CL,COMUNIDAD AUTONOMA DE CASTILLA Y LEON,34,PALENCIA
IC,COMUNIDAD AUTONOMA DE CANARIAS,35,LAS PALMAS
GA,COMUNIDAD AUTONOMA DE GALICIA,36,PONTEVEDRA
CL,COMUNIDAD AUTONOMA DE CASTILLA Y LEON,37,SALAMANCA
IC,COMUNIDAD AUTONOMA DE CANARIAS,38,S. C. TENERIFE
CN,COMUNIDAD AUTONOMA DE CANTABRIA,39,CANTABRIA
CL,COMUNIDAD AUTONOMA DE CASTILLA Y LEON,40,SEGOVIA
AN,COMUNIDAD AUTONOMA DE ANDALUCIA,41,SEVILLA
CL,COMUNIDAD AUTONOMA DE CASTILLA Y LEON,42,SORIA
CT,COMUNIDAD AUTONOMA DE CATALUNA,43,TARRAGONA
AR,COMUNIDAD AUTONOMA DE ARAGON,44,TERUEL
CM,COMUNIDAD AUTONOMA DE CASTILLA-LA MANCHA,45,TOLEDO
CV,COMUNIDAD VALENCIANA,46,VALENCIA
CL,COMUNIDAD AUTONOMA DE CASTILLA Y LEON,47,VALLADOLID
PV,COMUNIDAD AUTONOMA DEL PAIS VASCO,48,BIZKAIA
CL,COMUNIDAD AUTONOMA DE CASTILLA Y LEON,49,ZAMORA
AR,COMUNIDAD AUTONOMA DE ARAGON,50,ZARAGOZA
CE,CIUDAD DE CEUTA,51,CEUTA
ME,CIUDAD DE MELILLA,52,MELILLA
